1,2
1,34
2,20
2,23
3,10
4,18
5,7
5,9
6,6
6,31
7,31
8,20
8,28
8,30
9,15
9,19
10,17
10,19
10,26
11,26
12,31
13,35
14,35
15,20
16,20
16,23
17,7
17,9
17,10
18,20
18,28
18,23
18,21
18,10
18,11
18,12
18,13
18,7
18,8
18,9
18,1
18,2
18,34
18,5
19,18
20,20
20,23
20,7
20,9
20,10
21,21
22,18
23,35
24,25
25,15
25,16
25,19
25,33
26,25
26,9
26,7
26,1
27,35
28,13
29,9
29,13
29,8
30,9
30,13
30,8
30,23
30,11
31,35
32,35
33,9
33,10
34,27
35,18
36,20
36,23
37,2
38,16
39,34
40,35
41,19
41,18
41,15
41,17
42,19
43,35
44,9
44,7
45,13
46,9
46,7
46,13
46,8
47,9
47,7
47,10
48,17
48,18
49,35
50,18
50,17
51,7
51,25
52,21
52,7
53,6
54,29
55,19
55,18
56,27
56,31
57,21
57,7
58,9
58,7
58,9
58,25
59,4
60,9
61,21
61,31
62,31
63,7
63,9
64,17
65,9
65,13
65,8
66,9
66,13
66,8
66,11
67,7
67,10
68,21
69,8
69,9
69,13
70,1
70,7
70,9
71,7
72,18
73,1
73,2
73,9
73,7
73,13
73,8
73,10
73,11
73,12
73,20
73,28
73,23
73,21
73,27
73,5
73,34
74,35
75,26
76,6
77,7
77,9
78,13
79,23
80,18
81,21
81,3
82,7
82,9
82,25
83,17
84,31
85,17
85,18
86,24
87,17
87,15
87,18
88,18
89,21
90,9
91,1
91,2
91,9
91,7
91,13
91,8
91,10
91,11
91,12
91,20
91,28
91,23
91,21
91,27
92,17
93,35
94,17
94,18
95,21
96,20
97,9
97,13
97,8
97,10
97,14
98,9
99,10
100,21
101,29
101,7
102,7
102,25
103,35
104,13
105,35
106,31
106,23
107,20
108,5
109,21
109,3
110,7
110,9
111,18
112,2
113,21
114,35
115,22
115,20
116,13
117,18
118,18
119,17
120,18
121,21
121,31
122,21
123,7
124,22
124,20
124,28
124,23
124,2
125,35
126,7
126,8
126,29
127,8
127,10
128,7
128,9
129,35
130,1
130,7
131,10
132,10
133,29
133,7
134,10
135,10
136,7
136,9
137,9
138,25
139,7
139,13
140,27
141,32
141,10
142,21
143,21
144,35
145,35
146,23
147,29
148,17
149,20
149,31
150,20
151,18
152,34
152,2
153,31
154,35
155,2
155,20
155,28
155,23
155,22
156,7
156,9
157,7
157,9
157,13
157,1
158,27
159,27
160,21
161,31
162,31
163,25
163,6
164,17
164,18
164,24
165,11
165,9
166,10
167,16
167,19
167,15
167,33
168,27
168,31
169,20
170,18
171,25
171,7
172,18
173,27
